Sim #,Semi_b_0,Semi_c_0,Ecc_b_0,Ecc_c_0,Inc_b_0,Inc_c_0,LongA_b_0,LongA_c_0,Mut Incl,Runtime
07484,0.0207505507846,0.190277980612,0.29807296203,0.532456191863,0.402601062698,159.60310659,285.847916831,159.60310659,2.7897104641709176,8211.000000
07485,0.0311813718774,0.199328601832,0.198101671937,0.0119008595525,1.40738772087,328.510578128,311.510403587,328.510578128,0.5731246659679878,29934.000000
07486,0.0502600296703,1.39889389938,0.587004730424,0.927230331972,1.07357852977,291.122423495,135.862759949,291.122423495,1.1851349865083562,0.000000
07487,0.03880578664,1.00826593258,0.468047001146,0.53226763314,1.31000527912,318.093727254,34.9571023455,318.093727254,0.7368729408856463,103.000000
07489,0.0834487517859,1.53733762665,0.425027423859,0.903143412164,3.33758772295,54.8982681414,127.133661773,54.8982681414,0.9414862566922206,0.000000
07490,0.129817768843,1.22803464332,0.328750773797,0.299175635818,1.28856569874,23.2395438403,32.9324869866,23.2395438403,0.38345556286744437,406.000000
07491,0.0901574054796,0.531533489949,0.545242124351,0.339306780713,3.0765289187,219.279087127,257.656556,219.279087127,2.497412724554138,5001.000000
07492,0.0851134611519,1.7456211557,0.15103903447,0.934802663928,2.3069959694,212.916791679,128.787073812,212.916791679,2.569957595929479,0.000000
07493,0.0686204404936,0.501792425386,0.373377855602,0.678556644999,1.24209363507,231.410320869,226.776006197,231.410320869,2.265919776852877,0.000000
07496,0.0312409492574,0.437649631336,0.384030841785,0.0570566858821,0.0514449224315,307.988315069,334.243863545,307.988315069,0.9085804616793561,540.000000
07497,0.026278190931,0.290301961679,0.0994400016225,0.166534886955,2.14297122197,49.2614579424,252.590116391,49.2614579424,0.8942094447426626,47.000000
07498,0.0426574965434,0.781632322442,0.21369637552,0.332230086024,2.66282631783,32.7755116074,357.357790963,32.7755116074,0.5347691787177955,216.000000
07499,0.0886236162513,0.49012320659,0.211715443539,0.195004944979,4.18671963561,136.390707305,342.883953834,136.390707305,2.445253510505138,2256.000000
07501,0.13109110917,0.248984431652,0.287093934308,0.0297693927613,4.39866343826,239.714344399,40.5114737422,239.714344399,2.026709624549003,25374.000000
07502,0.0946187416354,2.0110288631,0.295420902515,0.342435974894,3.51330082686,26.6878916356,355.337167661,26.6878916356,0.41456509767999716,82.000000
07503,0.0705824804532,0.430570897387,0.112250326506,0.245275001124,0.0804406898931,191.27141033,168.442205717,191.27141033,2.9461626594734325,9122.000000
07504,0.0646707975536,0.273599757983,0.104683044401,0.0902004874214,0.28271250599,293.759708121,71.6899334922,293.759708121,1.1524507578894143,29598.000000
07505,0.096969442919,0.169358329725,0.126660896371,0.116100892658,1.10455090668,271.0417413,278.051463786,271.0417413,1.571748499291717,35733.000000
07507,0.0560836167331,0.467127713398,0.149062041887,0.180179384865,1.31287908778,241.570622682,137.971280611,241.570622682,2.0614613390141745,161.000000
07508,0.117643365482,41.1031268018,0.846497819085,0.134064862721,2.31112201909,326.400024151,339.081476342,326.400024151,0.6258381588518536,0.000000
07509,0.118098682075,0.553242016142,0.116275175121,0.159961640967,4.31803632867,173.759224126,227.011631991,173.759224126,2.976208891665886,20149.000000
07510,0.0815732702408,0.456343864267,0.0457004053657,0.311497867688,0.65456497669,279.538062885,339.451103365,279.538062885,1.4100609998585611,5367.000000
07511,0.0335289283785,19.8322455036,0.71702202839,0.824950785637,1.79071067794,258.522960579,274.016844202,258.522960579,1.801218981151354,0.000000
07512,0.0451334797509,0.152357683456,0.117156968943,0.111132867704,4.92872460885,52.1109510514,100.420946615,52.1109510514,0.8540157621107823,1857.000000
07513,0.0570377621029,0.88297789028,0.718589019027,0.0174987703425,2.3358546039,324.704137986,328.823353558,324.704137986,0.656697719239381,0.000000
07514,0.140119187879,3.41194081188,0.317207792296,0.134679446588,1.75536841285,344.162032225,236.935317056,344.162032225,0.2689073921212019,1.000000
07515,0.100518109515,0.320696160514,0.0409326095652,0.160990122102,2.29006462088,19.1895753741,140.778594931,19.1895753741,0.35742183117826626,8615.000000
07516,0.055089178333,0.445716236544,0.526253242161,0.364333621943,2.03044504792,198.549481182,263.228727926,198.549481182,2.831399395355339,2971.000000
07518,0.0257326141181,0.480230709423,0.132013967335,0.169663157691,3.89297200045,110.979412979,285.862663958,110.979412979,2.004622913375285,213.000000
07519,0.0363272821197,0.370294228488,0.318762302392,0.114158651548,0.72338621229,179.49075457,272.002273142,179.49075457,3.126474437979791,798.000000
07520,0.0149223492483,0.484117280164,0.154661565543,0.207691483621,4.69446404344,359.504924003,144.850040767,359.504924003,0.07498686027868508,535.000000
07522,0.0587149654409,0.251079285201,0.10703192576,0.438348518592,0.474912005623,260.625873801,299.005128497,260.625873801,1.7409012013144953,54893.000000
07523,0.0471318088043,0.433706118224,0.0621506152685,0.475035400065,1.01749705088,213.712680206,123.862997436,213.712680206,2.5530056796915432,937.000000
07524,0.136558350931,0.499080529937,0.138047540828,0.264221002384,3.94331865557,209.356759321,321.95997868,209.356759321,2.599367917548506,8576.000000
07525,0.112440900485,56.4936216399,0.266664825044,0.00836540274572,1.00503851855,116.266482136,280.68680026,116.266482136,2.0461240657082604,0.000000
07526,0.0252455937411,0.274279708302,0.287310769461,0.0486393097051,3.58549950978,30.8320581536,120.580351649,30.8320581536,0.541118091109299,6519.000000
07527,0.0250812764592,0.388060096371,0.0607967351117,0.293817966677,4.80491542742,158.83166826,325.242315915,158.83166826,2.853006679893472,557.000000
07528,0.0200651125842,0.338496220077,0.385891627794,0.14824033321,1.88527598975,251.935797053,142.048471515,251.935797053,1.8747292715291435,312.000000
07530,0.0750699212581,0.138304331389,0.106785908301,0.128662614886,3.87918381011,89.8531697766,95.3735978584,89.8531697766,1.5008436741965614,23906.000000
07531,0.13083213817,1.23670050717,0.422553325105,0.0704119542952,1.31620188972,234.942652983,212.972585752,234.942652983,2.2039396940476927,139.000000
07537,0.0713919099178,0.487224397256,0.252404044931,0.0577491300865,2.17987219929,171.260655901,341.74216101,171.260655901,3.026413838958773,1505.000000
07538,0.0650970566924,0.425051739633,0.682637556205,0.135176627908,2.6973965237,19.6022789583,174.510347599,19.6022789583,0.38525709204022796,0.000000
07539,0.012914858635,0.0495810001353,0.689547149795,0.0185577367524,3.93975545355,259.330578751,53.440923418,259.330578751,1.6950774725963074,0.000000
07540,0.0135126055955,0.487623883834,0.0295337037968,0.721935832141,2.06315990262,194.589297195,340.2274923,194.589297195,2.8565267351348482,0.000000
07541,0.117318982531,19.1802040851,0.0307462603442,0.931531637651,3.54580548874,70.1542062682,216.269446595,70.1542062682,1.2759982458445593,1.000000
07542,0.0878220582985,0.375427771668,0.0484076577149,0.712419703374,2.36653384899,60.1877699715,251.398085736,60.1877699715,1.0910081308611304,0.000000
07543,0.117269262046,0.791469370737,0.281054180327,0.245655908649,4.91188152061,350.878409756,343.572462363,350.878409756,0.24447540640038223,4629.000000
07544,0.0214418582071,0.432163693489,0.0646085904718,0.906129246572,1.57622355042,3.03372339818,47.5137809166,3.03372339818,0.0384891851614325,0.000000
07545,0.128766686389,1.32202135428,0.507265975711,0.118172729233,3.59989392271,25.3049254776,323.274577913,25.3049254776,0.4156621122978671,509.000000
07546,0.0378046992841,0.383695085642,0.122295521761,0.130533397327,0.353026563258,343.310297662,17.8393437667,343.310297662,0.2963863126860695,43.000000
07547,0.105669069856,0.872631352019,0.148660059679,0.808569600809,0.372244611572,99.061631161,127.006374784,99.061631161,1.723211540630548,0.000000
07548,0.0365463072207,0.180274051538,0.16722812703,0.690510694545,2.27940596362,220.946486135,242.527893798,220.946486135,2.463805510803261,0.000000
07550,0.0221916593096,0.474596377006,0.0420622520533,0.108030548368,1.35556456637,136.291551103,9.20692378925,136.291551103,2.392812583088394,1364.000000
07552,0.0635713402931,0.423566480613,0.0984532076465,0.697324485213,4.93448199211,65.769299183,312.841631608,65.769299183,1.1828010967418954,0.000000
07553,0.093785208953,42.2010690028,0.900476836118,0.149738481487,4.31557771745,91.7169007666,229.235124781,91.7169007666,1.6562476764204148,0.000000
07554,0.104824099001,0.374759223434,0.127003448732,0.645134283183,4.87954991025,158.29294691,101.004262208,158.29294691,2.7109990153101244,1548.000000
07555,0.0754933912958,0.271696371209,0.107195178127,0.0692919311282,4.45733722834,300.672286371,337.993286146,300.672286371,1.097945455373584,54733.000000
07556,0.123839159601,0.380952180414,0.299234105092,0.158381737358,0.223025009957,131.180574205,231.740612342,131.180574205,2.2902398894880345,34199.000000
07557,0.0128801133787,0.11329630514,0.167299989242,0.210062019832,4.67799985553,314.967469447,153.473352036,314.967469447,0.7089149053530148,38.000000
07559,0.0826037322346,1.67011720465,0.693218978261,0.849803015219,0.95765048221,59.6610946602,191.771704285,59.6610946602,1.0525348602544138,1.000000
07560,0.0876586582166,0.473422424613,0.1017823972,0.0600569771329,1.0529767288,111.610933188,307.669495272,111.610933188,1.9656338280710781,13209.000000
07561,0.108192521856,0.406945537638,0.238790239355,0.090550728634,2.17816286298,39.2458965574,356.642264142,39.2458965574,0.6574110713510224,1484.000000
07562,0.118454029255,0.414107574977,0.339066705873,0.0596097364419,2.27206217928,136.046290471,358.622597922,136.046290471,2.4032681258447535,33030.000000
07565,0.0497767527505,0.174196400886,0.347238003231,0.0328229479766,2.57427875762,349.853777812,310.852825794,349.853777812,0.2138591148925004,2902.000000
07566,0.0636009998635,0.796482571,0.256350215787,0.415260839633,3.14540449378,130.756643416,129.931666807,130.756643416,2.227241720443826,1714.000000
07568,0.102981912395,64.490154514,0.0272232001042,0.735688513159,3.76534047691,12.4782060875,75.7605874434,12.4782060875,0.19704157872186284,0.000000
